"Subject.Number" "Activity.Name" "feature.Domain" "feature.Device" "feature.Source.Signal" "feature.Is.Jerk" "feature.Is.Magnitude" "feature.Variable" "feature.Axial" "count" "average"
1 "LAYING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "X" 50 0.2704872636
1 "LAYING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Y" 50 -0.02044794336
1 "LAYING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Mean" "Z" 50 -0.105636086404
1 "LAYING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "X" 50 0.00565543976
1 "LAYING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Y" 50 0.107417293448
1 "LAYING" "time" "Accelerometer" "Body" "FALSE" "FALSE" "Standard Deviation" "Z" 50 -0.240890147645
1 "LAYING" "time" "Accelerometer" "Body" "FALSE" "TRUE" "Mean" "NA" 50 0.0666995448508
1 "LAYING" "time" "Accelerometer" "Body" "FALSE" "TRUE" "Standard Deviation" "NA" 50 -0.07286727560152
1 "LAYING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "X" 50 0.07460480866
1 "LAYING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Y" 50 0.02070283684
1 "LAYING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Mean" "Z" 50 -0.01683357816
1 "LAYING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "X" 50 -0.014992907468
1 "LAYING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Y" 50 -0.0222929774998
1 "LAYING" "time" "Accelerometer" "Body" "TRUE" "FALSE" "Standard Deviation" "Z" 50 -0.46273963394
1 "LAYING" "time" "Accelerometer" "Body" "TRUE" "TRUE" "Mean" "NA" 50 -0.09127908935218
1 "LAYING" "time" "Accelerometer" "Body" "TRUE" "TRUE" "Standard Deviation" "NA" 50 -0.044972223456
1 "LAYING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "X" 50 0.942385977
1 "LAYING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "Y" 50 -0.2232680546
1 "LAYING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Mean" "Z" 50 0.02048301930154
1 "LAYING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "X" 50 -0.954745269
1 "LAYING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "Y" 50 -0.9481748178
1 "LAYING" "time" "Accelerometer" "Gravity" "FALSE" "FALSE" "Standard Deviation" "Z" 50 -0.9117958834
